firstname,lastname,age,sex
Mary,Avila,89,Female
Mary,Humphrey,89,Female
Mary,Pittman,89,Female
Mary,Galvan,89,Female
Mary,Gamble,89,Other
Dorothy,Bryant,89,Female
Dorothy,Kline,89,Female
Dorothy,Moreno,89,Other
Dorothy,Price,89,Female
Dorothy,Hodge,89,Female
Dorothy,Cunningham,89,Female
Helen,Shields,89,Other
Helen,Giles,89,Female
Helen,Sharp,89,Female
Margaret,Barrera,89,Female
Ruth,Craig,89,Female
Shirley,Reilly,89,Female
Shirley,Potter,89,Female
Barbara,Hinton,89,Female
Robert,Dalton,89,Male
Robert,Poole,89,Male
Robert,Jordan,89,Male
Robert,Murray,89,Male
John,Robertson,89,Male
John,Watson,89,Male
John,Andrews,89,Male
John,Blankenship,89,Male
John,Chase,89,Male
James,Richmond,89,Male
James,Frederick,89,Male
William,Hess,89,Other
William,Mccormick,89,Male
William,Savage,89,Male
William,Mccullough,89,Male
William,Pruitt,89,Male
Charles,Stewart,89,Male
Charles,Ortiz,89,Male
Richard,Prince,89,Male
Richard,Hebert,89,Male
George,Casey,89,Male
Edward,Horton,89,Male
Thomas,Rollins,89,Male
Thomas,Nichols,89,Male
Frank,Schmitt,89,Male
Mary,Irwin,88,Female
Mary,Koch,88,Female
Mary,Davenport,88,Other
Mary,Moore,88,Other
Mary,Bates,88,Female
Mary,Maddox,88,Female
Mary,Mendoza,88,Female
Mary,Phillips,88,Female
Mary,Ballard,88,Female
Mary,Norton,88,Female
Mary,Esparza,88,Female
Mary,Bryant,88,Female
Mary,Waters,88,Other
Mary,Davenport,88,Female
Mary,Smith,88,Female
Mary,Petty,88,Female
Mary,Fuentes,88,Female
Mary,Kramer,88,Female
Mary,Rosales,88,Female
Mary,Jacobson,88,Female
Mary,Clayton,88,Female
Mary,Flowers,88,Other
Mary,Hunt,88,Other
Mary,Sparks,88,Female
Mary,Bautista,88,Female
Mary,Macdonald,88,Other
Mary,Hudson,88,Female
Mary,Duncan,88,Female
Mary,Valencia,88,Female
Mary,Arias,88,Female
Mary,Pace,88,Female
Mary,Dodson,88,Female
Mary,Turner,88,Female
Mary,Wells,88,Female
Mary,Ferguson,88,Female
Mary,Rosario,88,Female
Mary,Lang,88,Female
Mary,Reilly,88,Female
Mary,Spence,88,Female
Mary,Todd,88,Female
Mary,Calhoun,88,Female
Mary,Harmon,88,Female
Mary,Golden,88,Female
Mary,Gentry,88,Other
Mary,Koch,88,Female
Mary,Marsh,88,Female
Mary,Willis,88,Female
Mary,Castaneda,88,Female
Mary,Ramsey,88,Other
Mary,Cameron,88,Female
Mary,Phillips,88,Female
Mary,Pollard,88,Female
Mary,Booker,88,Female
Mary,Whitehead,88,Female
Mary,Wise,88,Female
Mary,Farley,88,Female
Mary,Zhang,88,Female
Mary,Wilkins,88,Female
Mary,Peterson,88,Female
Mary,Church,88,Female
Mary,Briggs,88,Female
Mary,Flynn,88,Female
Mary,Stephenson,88,Female
Mary,Butler,88,Female
Mary,Mann,88,Female
Mary,Gallegos,88,Female
Mary,Meza,88,Female
Mary,Spears,88,Female
Mary,May,88,Other
Mary,Parrish,88,Female
Mary,Rivers,88,Female
Mary,Rios,88,Female
Mary,Villegas,88,Female
Mary,Olsen,88,Female
Mary,Dougherty,88,Female
Mary,Jackson,88,Female
Betty,Strickland,88,Female
Betty,Pineda,88,Female
Dorothy,Caldwell,88,Female
Dorothy,Trujillo,88,Female
Helen,Porter,88,Female
Helen,Hardin,88,Female
Ruth,Greer,88,Female
Doris,Dickerson,88,Other
Doris,Bailey,88,Female
Virginia,Navarro,88,Female
Shirley,Wang,88,Female
Robert,Pace,88,Male
Robert,Hancock,88,Male
John,Weeks,88,Male
John,Mcneil,88,Male
John,Cisneros,88,Male
James,Wang,88,Male
James,Hood,88,Male
James,Bishop,88,Male
James,Frazier,88,Male
William,Proctor,88,Male
William,Boyle,88,Male
William,Berry,88,Male
William,English,88,Other
William,Prince,88,Male
Richard,Giles,88,Male
Donald,Banks,88,Male
Donald,Herring,88,Male
Donald,Tran,88,Male
Donald,Hanna,88,Male
George,Hall,88,Male
Joseph,Davies,88,Male
Edward,Buckley,88,Other
Edward,Richardson,88,Male
Frank,Rodriguez,88,Male
Paul,Walton,88,Male
Mary,Travis,87,Female
Mary,Adams,87,Female
Betty,Lara,87,Female
Betty,Morrow,87,Female
Dorothy,Collier,87,Female
Dorothy,Baker,87,Female
Dorothy,Kline,87,Female
Helen,Gonzales,87,Female
Helen,Maldonado,87,Female
Margaret,Wise,87,Female
Doris,Christian,87,Female
Patricia,Sims,87,Female
Patricia,Mcclain,87,Female
Virginia,Webb,87,Female
Virginia,Dalton,87,Female
Robert,Macdonald,87,Male
Robert,Pacheco,87,Male
Robert,Ayala,87,Male
James,Harper,87,Male
James,Rosales,87,Male
James,Craig,87,Male
James,Mckenzie,87,Male
James,Doyle,87,Male
James,Winters,87,Male
John,Horn,87,Male
John,Keith,87,Male
William,Hurley,87,Male
William,Madden,87,Other
William,Christian,87,Male
Charles,Henson,87,Male
Richard,Mcintosh,87,Male
Richard,Bruce,87,Male
Richard,Haynes,87,Male
Donald,Conner,87,Male
George,Hughes,87,Male
George,Zavala,87,Male
Joseph,Ross,87,Male
Joseph,Dodson,87,Male
Edward,Conrad,87,Male
Edward,Lyons,87,Male
Edward,Bruce,87,Male
Thomas,Nolan,87,Male
Thomas,Park,87,Male
Thomas,Morgan,87,Male
Thomas,Stewart,87,Male
Mary,Short,86,Female
Mary,Porter,86,Female
Betty,Brown,86,Female
Dorothy,Walsh,86,Female
Helen,Dougherty,86,Female
Helen,Horne,86,Female
Helen,Patton,86,Female
Helen,Roman,86,Female
Margaret,Espinoza,86,Female
Margaret,Castillo,86,Female
Barbara,Vargas,86,Female
Barbara,Bush,86,Female
Patricia,Mcconnell,86,Female
Joan,Shaffer,86,Female
Doris,Hayes,86,Female
Doris,Dickerson,86,Female
Doris,Walls,86,Female
Ruth,House,86,Female
Shirley,Gonzales,86,Female
Shirley,Horn,86,Female
Shirley,Zavala,86,Female
Robert,Meza,86,Other
Robert,Mcbride,86,Male
Robert,Roman,86,Male
Robert,Jensen,86,Male
Robert,Campos,86,Male
Robert,Hudson,86,Male
James,Hanson,86,Male
James,Henson,86,Male
James,Good,86,Male
James,Rangel,86,Male
John,Pena,86,Male
John,Sweeney,86,Male
John,Sherman,86,Male
John,Yoder,86,Male
William,Patel,86,Male
William,Osborn,86,Male
William,Morales,86,Male
Donald,Chase,86,Male
George,Villanueva,86,Male
Joseph,Morales,86,Male
Joseph,Tyler,86,Male
Thomas,Romero,86,Male
Thomas,Palmer,86,Male
Mary,Nixon,85,Female
Mary,Ramirez,85,Female
Mary,Orr,85,Female
Mary,Harvey,85,Other
Mary,Huang,85,Female
Mary,Hurst,85,Female
Mary,Key,85,Female
Mary,Roach,85,Female
Mary,Stark,85,Female
Mary,Carney,85,Female
Mary,Kline,85,Female
Mary,Pruitt,85,Female
Mary,James,85,Female
Mary,Fitzpatrick,85,Female
Mary,Walsh,85,Female
Mary,Bowen,85,Female
Mary,Roberson,85,Female
Mary,Glenn,85,Female
Mary,Stein,85,Female
Mary,Reeves,85,Female
Mary,Travis,85,Female
Mary,Zimmerman,85,Female
Mary,Sherman,85,Female
Mary,Wilcox,85,Female
Mary,Patrick,85,Female
Mary,Ali,85,Female
Mary,Lawrence,85,Female
Mary,Bolton,85,Female
Mary,Bishop,85,Female
Mary,Lester,85,Other
Mary,Cunningham,85,Female
Mary,White,85,Female
Mary,Leach,85,Female
Mary,Hebert,85,Female
Mary,Brandt,85,Female
Mary,Hill,85,Female
Mary,Shaw,85,Female
Mary,Meyers,85,Female
Mary,Donovan,85,Female
Mary,Sherman,85,Female
Mary,Moses,85,Female
Mary,Rich,85,Female
Mary,Ray,85,Female
Mary,Richard,85,Female
Mary,Lawson,85,Female
Mary,Farmer,85,Other
Mary,Weiss,85,Female
Betty,Mcintyre,85,Female
Dorothy,Howell,85,Female
Dorothy,Herring,85,Female
Dorothy,Nichols,85,Female
Barbara,Brewer,85,Female
Joan,Gomez,85,Female
Joan,Lambert,85,Female
Doris,Nolan,85,Female
Doris,Benton,85,Female
Robert,Berg,85,Male
Robert,Moran,85,Male
Robert,Byrd,85,Male
Robert,Walters,85,Male
Robert,Mercado,85,Male
Robert,Rivers,85,Other
Robert,Baldwin,85,Male
James,Woodward,85,Male
James,Mcmahon,85,Male
James,Hardy,85,Male
James,Juarez,85,Male
James,Cooley,85,Male
John,Gay,85,Male
John,Pruitt,85,Male
John,Allison,85,Male
Charles,Bell,85,Male
Charles,Nguyen,85,Male
Charles,Robbins,85,Male
Joseph,Mccall,85,Male
Joseph,Newton,85,Male
Joseph,Montes,85,Male
Joseph,Vega,85,Male
Thomas,Allen,85,Male
Betty,Arias,84,Female
Betty,Carlson,84,Female
Betty,Hammond,84,Female
Barbara,Herring,84,Female
Barbara,Austin,84,Female
Dorothy,Sims,84,Female
Joan,Erickson,84,Female
Patricia,Mack,84,Female
Margaret,Peck,84,Female
Robert,Franco,84,Other
Robert,Mata,84,Other
James,Marks,84,Male
James,Watson,84,Male
James,Blanchard,84,Male
James,Welch,84,Male
John,Cuevas,84,Other
John,Gibbs,84,Male
John,Pace,84,Male
John,Morse,84,Male
John,Holloway,84,Male
John,Proctor,84,Male
William,Hunt,84,Male
William,Cobb,84,Male
William,Welch,84,Male
William,Sandoval,84,Male
Charles,Knight,84,Male
Joseph,Barnes,84,Male
Joseph,Spencer,84,Male
Joseph,Bentley,84,Male
Thomas,Thornton,84,Male
Mary,Goodman,83,Other
Mary,Fisher,83,Female
Mary,Moyer,83,Female
Mary,Mcgrath,83,Female
Mary,Mayo,83,Female
Mary,Barnes,83,Other
Mary,Meyers,83,Female
Mary,Davies,83,Female
Mary,Sanchez,83,Female
Mary,Atkinson,83,Female
Mary,Collins,83,Female
Mary,Leon,83,Female
Mary,Hensley,83,Female
Mary,Craig,83,Female
Mary,Camacho,83,Other
Mary,Stark,83,Other
Mary,Bullock,83,Female
Mary,Harding,83,Female
Mary,Esparza,83,Female
Mary,Blackwell,83,Female
Mary,Foley,83,Female
Mary,Gallegos,83,Female
Mary,George,83,Female
Mary,Gibbs,83,Female
Mary,Bailey,83,Female
Mary,Huang,83,Other
Mary,Wang,83,Female
Mary,Shaw,83,Female
Mary,Vargas,83,Other
